stock_name,scorers
Atlantic thread herring,"AAcosta, BGlazer, DBehringer, RGarciaSais"
Ballyhoo,"AAcosta, BGlazer, JPatterson, RGarciaSais"
Blue runner,"BGlazer, DBehringer, RAppeldoorn, WMerten"
Dolphinfish,"AAcosta, DBehringer, RGarciaSais, WMerten"
Gray angelfish,"AKough, CTuohy, ETuohy, GRodriguez"
Hogfish,"AKough, CTuohy, GRodriguez, MScharer"
King mackerel,"BGlazer, RAppeldoorn, RGarciaSais, WMerten"
Lane snapper,"AAcosta, ETuohy, KOverly, REsteves"
Long-spined sea urchin,"DBehringer, JPatterson, OTzadik, SWilliams"
Misty grouper,"AAcosta, ETuohy, MScharer, SKadison"
Mutton snapper,"KOverly, REsteves, SKadison, WMerten"
Nassau grouper,"CZayas, MScharer, OTzadik, SKadison"
Queen conch,"AKough, BGlazer, OTzadik, RAppeldoorn"
Queen snapper,"KOverly, RGarciaSais, SWilliams, WMerten"
Queen triggerfish,"CTuohy, CZayas, ETuohy, GRodriguez"
Rainbow parrotfish,"CTuohy, CZayas, GRodriguez, REsteves"
Red grouper,"MScharer, OTzadik, RAppeldoorn, SKadison"
Red hind,"CZayas, MScharer, OTzadik, SKadison"
Sea cucumbers,"JPatterson, OTzadik, RAppeldoorn, SWilliams"
Silk snapper,"AKough, CTuohy, KOverly, REsteves"
Spiny lobster,"AKough, BGlazer, DBehringer, SWilliams"
Stoplight parrotfish,"CTuohy, CZayas, GRodriguez, REsteves"
White mullet,"DBehringer, JPatterson, RGarciaSais, WMerten"
Yellowfin grouper,"CZayas, MScharer, RAppeldoorn, SKadison"
Yellowtail snapper,"AAcosta, ETuohy, GRodriguez, KOverly, REsteves"
